sheet,state_name,constituency_name,number_of_polling_stations,dates_polling,dates_counting,dates_results,result_winner_name,result_winner_party,result_winner_votes,result_runner_up_name,result_runner_up_party,result_runner_up_votes,result_margin,candidate_Nominated_m,candidate_Nomination Rejected_m,candidate_Withdrawn_m,candidate_Contested_m,candidate_Forfeited Deposit_m,candidate_Nominated_w,candidate_Nomination Rejected_w,candidate_Withdrawn_w,candidate_Contested_w,candidate_Forfeited Deposit_w,candidate_Nominated_t,candidate_Nomination Rejected_t,candidate_Withdrawn_t,candidate_Contested_t,candidate_Forfeited Deposit_t,candidate_Nominated_total,candidate_Nomination Rejected_total,candidate_Withdrawn_total,candidate_Contested_total,candidate_Forfeited Deposit_total,elector_General_m,elector_OverSeas_m,elector_Service_m,elector_Total_m,elector_General_w,elector_OverSeas_w,elector_Service_w,elector_Total_w,elector_General_t,elector_OverSeas_t,elector_Service_t,elector_Total_t,elector_General_total,elector_OverSeas_total,elector_Service_total,elector_Total_total,voter_General_m,voter_Overseas_m,voter_Proxy_m,voter_Postal_m,voter_Total_m,voter_Votes Rejected due to other Reason_m,voter_POLLING PERCENTAGE_m,voter_General_w,voter_Overseas_w,voter_Proxy_w,voter_Postal_w,voter_Total_w,voter_Votes Rejected due to other Reason_w,voter_POLLING PERCENTAGE_w,voter_General_t,voter_Overseas_t,voter_Proxy_t,voter_Postal_t,voter_Total_t,voter_Votes Rejected due to other Reason_t,voter_POLLING PERCENTAGE_t,voter_General_total,voter_Overseas_total,voter_Proxy_total,voter_Postal_total,voter_Total_total,voter_Votes Rejected due to other Reason_total,voter_POLLING PERCENTAGE_total,votes_Total Votes Polled On EVM,votes_Total Deducted Votes From EVM,votes_Total Valid Votes polled on EVM,votes_Postal Votes Counted,votes_Postal Votes Deducted,votes_Valid Postal Votes,votes_Total Valid Votes Polled,votes_Test Votes polled On EVM,votes_Votes Polled for 'NOTA'(Including Postal),votes_Tendered Votes
S01-1,Andhra Pradesh-S01,Aruku -ST,2035,11/04/2019,23/05/2019,24/05/2019,GODDETI. MADHAVI,Yuvajana Sramika Rythu Congress Party,562190,KISHORE CHANDRA DEO,Telugu Desam,338101,224089,9,2,0,7,6,4,1,0,3,2,0,0,0,0,0,13,3,0,10,8,707693,13,1992,709698,741531,3,92,741626,94,0,0,94,1449318,16,2084,1451418,523085,0,NA,NA,NA,NA,NA,544258,0,NA,NA,NA,NA,NA,19,0,NA,NA,NA,NA,NA,1067362,0,0,10873,1078235,0,74.030000000000001,1067362,48339,1019023,10873,3335,7538,1026561,0,47977,5
S01-2,Andhra Pradesh-S01,Srikakulam-GEN,2031,11/04/2019,23/05/2019,23/05/2019,KINJARAPU RAM MOHAN NAIDU,Telugu Desam,534544,DUVVADA SRINIVAS,Yuvajana Sramika Rythu Congress Party,527891,6653,11,2,0,9,7,2,2,0,0,0,0,0,0,0,0,13,4,0,9,7,768684,17,13358,782059,771259,1,332,771592,209,0,0,209,1540152,18,13690,1553860,548060,0,NA,NA,NA,NA,NA,594937,0,NA,NA,NA,NA,NA,14,0,NA,NA,NA,NA,NA,1143011,0,0,21275,1164286,0,74.480000000000004,1143011,25500,1117511,21275,7002,14273,1131784,0,25545,0
S01-3,Andhra Pradesh-S01,Vizianagaram-GEN,1887,11/04/2019,23/05/2019,23/05/2019,Bellana Chandra Sekhar,Yuvajana Sramika Rythu Congress Party,578418,Ashok Gajapathi Raju Pusapati,Telugu Desam,530382,48036,14,1,0,13,11,3,1,1,1,1,0,0,0,0,0,17,2,1,14,12,749438,51,4527,754016,749681,7,153,749841,123,0,0,123,1499242,58,4680,1503980,603059,0,NA,NA,NA,NA,NA,605843,0,NA,NA,NA,NA,NA,7,0,NA,NA,NA,NA,NA,1208909,0,0,13524,1222433,0,80.980000000000004,1208909,29468,1179441,13524,4576,8948,1188389,0,29501,0
S01-4,Andhra Pradesh-S01,Visakhapatnam-GEN,1915,11/04/2019,23/05/2019,23/05/2019,M V V SATYANARAYANA,Yuvajana Sramika Rythu Congress Party,436906,BHARAT MATHUKUMILLI,Telugu Desam,432492,4414,17,7,0,10,7,7,3,0,4,4,0,0,0,0,0,24,10,0,14,11,914450,281,3390,918121,910846,76,141,911063,116,0,0,116,1825412,357,3531,1829300,608306,0,NA,NA,NA,NA,NA,624713,0,NA,NA,NA,NA,NA,7,0,NA,NA,NA,NA,NA,1233026,0,0,6895,1239921,0,67.769999999999996,1233026,16626,1216400,6895,187,6708,1223108,0,16646,0
S01-5,Andhra Pradesh-S01,Anakapalli-GEN,1799,11/04/2019,23/05/2019,23/05/2019,Dr.Beesetti Venkata Satyavathi,Yuvajana Sramika Rythu Congress Party,586226,ADARI ANAND KUMAR,Telugu Desam,497034,89192,11,3,0,8,7,3,1,0,2,1,0,0,0,0,0,14,4,0,10,8,746440,33,3765,750238,770950,8,101,771059,66,0,0,66,1517456,41,3866,1521363,606111,0,NA,NA,NA,NA,NA,626764,0,NA,NA,NA,NA,NA,6,0,NA,NA,NA,NA,NA,1232881,0,0,7575,1240456,0,81.409999999999997,1232881,34877,1198004,7575,1985,5590,1203594,0,34897,0
S01-6,Andhra Pradesh-S01,Kakinada-GEN,1623,11/04/2019,23/05/2019,23/05/2019,VANGA GEETHAVISWANATH,Yuvajana Sramika Rythu Congress Party,537630,CHALAMALASETTY SUNIL,Telugu Desam,511892,25738,15,3,0,12,11,5,1,1,3,2,0,0,0,0,0,20,4,1,15,13,775208,142,679,776029,787609,42,25,787676,225,0,0,225,1563042,184,704,1563930,616003,0,NA,NA,NA,NA,NA,611330,0,NA,NA,NA,NA,NA,66,0,NA,NA,NA,NA,NA,1227399,0,0,9415,1236814,0,78.950000000000003,1227399,17117,1210282,9415,2195,7220,1217502,0,17153,0
S01-7,Andhra Pradesh-S01,Amalapuram -SC,1641,11/04/2019,23/05/2019,24/05/2019,CHINTA ANURADHA,Yuvajana Sramika Rythu Congress Party,485958,GANTI HARISH MADHUR (BALAYOGI),Telugu Desam,446163,39795,12,3,0,9,7,1,0,0,1,0,0,0,0,0,0,13,3,0,10,7,728445,167,744,729356,730104,43,24,730171,29,0,0,29,1458578,210,768,1459556,617210,0,NA,NA,NA,NA,NA,607337,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,1224547,0,0,10821,1235368,0,84.469999999999999,1224547,16427,1208120,10821,2514,8307,1216427,0,16468,0
S01-8,Andhra Pradesh-S01,Rajahmundry-GEN,1584,11/04/2019,23/05/2019,24/05/2019,MARGANI BHARAT,Yuvajana Sramika Rythu Congress Party,582024,MAGANTI ROOPA,Telugu Desam,460390,121634,15,5,0,10,9,2,0,1,1,0,0,0,0,0,0,17,5,1,11,9,753238,208,564,754010,780030,52,42,780124,122,0,0,122,1533390,260,606,1534256,617706,0,NA,NA,NA,NA,NA,626974,0,NA,NA,NA,NA,NA,8,0,NA,NA,NA,NA,NA,1244688,0,0,5800,1250488,0,81.5,1244688,18064,1226624,5800,84,5716,1232340,0,18087,0
S01-9,Andhra Pradesh-S01,Narsapuram-GEN,1502,11/04/2019,23/05/2019,23/05/2019,KANUMURU RAGHU RAMA KRISHNA RAJU,Yuvajana Sramika Rythu Congress Party,449234,V.V. SIVA RAMA RAJU (KALAVAPUDI SIVA),Telugu Desam,416558,32676,18,2,2,14,11,2,1,0,1,1,0,0,0,0,0,20,3,2,15,12,708001,199,748,708948,730511,58,21,730590,153,0,0,153,1438665,257,769,1439691,580907,5,NA,NA,NA,NA,NA,587960,0,NA,NA,NA,NA,NA,35,0,NA,NA,NA,NA,NA,1168902,5,0,10255,1179162,0,81.799999999999997,1168907,12193,1156714,10255,1340,8915,1165629,0,12109,0
S01-10,Andhra Pradesh-S01,Eluru -GEN,1771,11/04/2019,23/05/2019,23/05/2019,KOTAGIRI SRIDHAR,Yuvajana Sramika Rythu Congress Party,676809,MAGANTTI VENKATESWARA RAO BABU,Telugu Desam,510884,165925,12,1,1,10,8,2,1,1,0,0,0,0,0,0,0,14,2,2,10,8,784838,178,566,785582,809167,51,18,809236,132,0,0,132,1594137,229,584,1594950,659879,0,NA,NA,NA,NA,NA,662137,0,NA,NA,NA,NA,NA,32,0,NA,NA,NA,NA,NA,1322048,0,0,10162,1332210,0,83.260000000000005,1322048,23861,1298187,10162,4306,5856,1304043,0,23880,0
S01-11,Andhra Pradesh-S01,Machilipatnam -GEN,1752,11/04/2019,23/05/2019,23/05/2019,BALASHOWRY VALLABHANENI,Yuvajana Sramika Rythu Congress Party,572850,KONAKALLA NARAYANA RAO,Telugu Desam,512612,60238,15,3,2,10,8,3,1,0,2,2,0,0,0,0,0,18,4,2,12,10,720749,298,483,721530,751611,85,20,751716,101,0,0,101,1472461,383,503,1473347,609214,0,NA,NA,NA,NA,NA,626244,0,NA,NA,NA,NA,NA,14,0,NA,NA,NA,NA,NA,1235472,0,0,10080,1245552,0,84.469999999999999,1235472,14067,1221405,10080,1016,9064,1230469,0,14101,0
S01-12,Andhra Pradesh-S01,Vijayawada-GEN,1709,11/04/2019,23/05/2019,24/05/2019,KESINENI SRINIVAS (NANI),Telugu Desam,575498,POTLURI.V.PRASAD ( P V P ),Yuvajana Sramika Rythu Congress Party,566772,8726,15,2,0,13,11,6,4,0,2,2,0,0,0,0,0,21,6,0,15,13,814598,307,304,815209,837479,104,28,837611,174,0,0,174,1652251,411,332,1652994,632378,0,NA,NA,NA,NA,NA,640718,0,NA,NA,NA,NA,NA,36,0,NA,NA,NA,NA,NA,1273132,0,0,4643,1277775,0,77.299999999999997,1273132,8889,1264243,4643,86,4557,1268800,0,8911,0
S01-13,Andhra Pradesh-S01,Guntur-GEN,1804,11/04/2019,23/05/2019,23/05/2019,Jayadev Galla,Telugu Desam,587918,Modugula Venugopala Reddy,Yuvajana Sramika Rythu Congress Party,583713,4205,25,5,1,19,17,2,1,1,0,0,0,0,0,0,0,27,6,2,19,17,828116,340,1637,830093,875666,96,51,875813,213,0,0,213,1703995,436,1688,1706119,659306,0,NA,NA,NA,NA,NA,686873,0,NA,NA,NA,NA,NA,31,0,NA,NA,NA,NA,NA,1346210,0,0,5317,1351527,0,79.209999999999994,1346210,5972,1340238,5317,87,5230,1345468,0,6006,0
S01-14,Andhra Pradesh-S01,Narasaraopet-GEN,1915,11/04/2019,23/05/2019,23/05/2019,LAVU SRI KRISHNA DEVARAYALU,Yuvajana Sramika Rythu Congress Party,745557,RAYAPATI SAMBASIVARAO,Telugu Desam,591555,154002,18,5,0,13,11,1,1,0,0,0,0,0,0,0,0,19,6,0,13,11,820154,114,1061,821329,848809,25,22,848856,206,0,0,206,1669169,139,1083,1670391,707594,0,NA,NA,NA,NA,NA,721882,0,NA,NA,NA,NA,NA,49,0,NA,NA,NA,NA,NA,1429525,0,0,11207,1440732,0,86.049999999999997,1429525,12489,1417036,11207,3350,7857,1424893,0,12527,0
S01-15,Andhra Pradesh-S01,Bapatla -SC,1767,11/04/2019,23/05/2019,24/05/2019,NANDIGAM SURESH,Yuvajana Sramika Rythu Congress Party,598257,MALYADRI SRIRAM,Telugu Desam,582192,16065,14,1,1,12,10,2,0,1,1,1,0,0,0,0,0,16,1,2,13,11,718086,189,4384,722659,745777,55,95,745927,85,0,0,85,1463948,244,4479,1468671,618167,0,NA,NA,NA,NA,NA,636396,0,NA,NA,NA,NA,NA,7,0,NA,NA,NA,NA,NA,1254570,0,0,15428,1269998,0,86.230000000000004,1254570,13178,1241392,15428,3546,11882,1253274,0,13218,9
S01-16,Andhra Pradesh-S01,Ongole -GEN,1931,11/04/2019,23/05/2019,24/05/2019,MAGUNTA SREENIVASULU REDDY,Yuvajana Sramika Rythu Congress Party,739202,SIDDA RAGHAVA RAO,Telugu Desam,524351,214851,15,2,0,13,11,2,2,0,0,0,0,0,0,0,0,17,4,0,13,11,774876,94,6305,781275,774982,28,97,775107,87,0,0,87,1549945,122,6402,1556469,663664,0,NA,NA,NA,NA,NA,659603,0,NA,NA,NA,NA,NA,29,0,NA,NA,NA,NA,NA,1323296,0,0,20707,1344003,0,86.239999999999995,1323296,20843,1302453,20707,1657,19050,1321503,0,20865,10
S01-17,Andhra Pradesh-S01,Nandyal-GEN,1938,11/04/2019,23/05/2019,24/05/2019,POCHA . BRAHMANANDA REDDY,Yuvajana Sramika Rythu Congress Party,720888,MANDRA SIVANANDA REDDY,Telugu Desam,470769,250119,24,1,4,19,17,4,2,1,1,1,0,0,0,0,0,28,3,5,20,18,789496,57,2728,792281,810564,8,33,810605,334,0,0,334,1600394,65,2761,1603220,639159,0,NA,NA,NA,NA,NA,649242,0,NA,NA,NA,NA,NA,75,0,NA,NA,NA,NA,NA,1288476,0,0,11309,1299785,0,81.030000000000001,1288476,9759,1278717,11309,724,10585,1289302,0,9791,0
S01-18,Andhra Pradesh-S01,Kurnool-GEN,1843,11/04/2019,23/05/2019,23/05/2019,AYUSHMAN DOCTOR SANJEEV KUMAR,Yuvajana Sramika Rythu Congress Party,605462,KOTLA JAYA SURYA PRAKASH REDDY,Telugu Desam,456395,149067,17,NA,1,16,14,0,0,0,0,0,0,0,0,0,0,17,0,1,16,14,785662,32,1033,786727,786054,7,22,786083,199,0,0,199,1571915,39,1055,1573009,596807,0,NA,NA,NA,NA,NA,585326,0,NA,NA,NA,NA,NA,24,0,NA,NA,NA,NA,NA,1182157,0,0,8515,1190672,0,75.540000000000006,1182157,7691,1174466,8515,2371,6144,1180610,0,7717,4
S01-19,Andhra Pradesh-S01,Anantapur-GEN,1975,11/04/2019,23/05/2019,23/05/2019,TALARI RANGAIAH,Yuvajana Sramika Rythu Congress Party,695208,J.C. PAVAN REDDY,Telugu Desam,553780,141428,16,4,0,12,10,2,0,0,2,2,0,0,0,0,0,18,4,0,14,12,831151,27,1384,832562,831381,6,29,831416,182,0,0,182,1662714,33,1413,1664160,672882,0,NA,NA,NA,NA,NA,661447,0,NA,NA,NA,NA,NA,46,0,NA,NA,NA,NA,NA,1334375,0,0,13739,1348114,0,80.659999999999997,1334375,16406,1317969,13739,5868,7871,1325840,0,16466,0
