state_name,constituency_name
Himachal Pradesh,Kangra
Himachal Pradesh,Mandi
Himachal Pradesh,Hamirpur
Himachal Pradesh,Shimla
Punjab,Gurdaspur
Punjab,Amritsar
Punjab,Khadoor Sahib
Punjab,Jalandhar
Punjab,Hoshiarpur
Punjab,Anandpur Sahib
Punjab,Ludhiana
Punjab,Fatehgarh Sahib
Punjab,Faridkot
Punjab,Firozepur
Punjab,Bathinda
Punjab,Sangrur
Punjab,Patiala
Uttarakhand,Tehri Garhwal
Uttarakhand,Garhwal
Uttarakhand,Almora
Uttarakhand,Nainital-Udhamsingh Nagar
Uttarakhand,Haridwar
Haryana,Ambala
Haryana,Kurukshetra
Haryana,Sirsa
Haryana,Hisar
Haryana,Karnal
Haryana,Sonipat
Haryana,Rohtak
Haryana,Bhiwani-Mahendragarh
Haryana,Gurgaon
Haryana,Faridabad
Delhi,Chandni Chowk
Rajasthan,Bharatpur
Rajasthan,Karauli-Dholpur
Rajasthan,Dausa
Rajasthan,Tonk-Sawai Madhopur
Rajasthan,Ajmer
Rajasthan,Nagaur
Rajasthan,Pali
Rajasthan,Jodhpur
Rajasthan,Barmer
Rajasthan,Jalore
Rajasthan,Udaipur
Rajasthan,Banswara
Delhi,North East Delhi
Rajasthan,Chittorgarh
Rajasthan,Rajsamand
Rajasthan,Bhilwara
Rajasthan,Kota
Rajasthan,Jhalawar-Baran
Uttar Pradesh,Saharanpur
Uttar Pradesh,Kairana
Uttar Pradesh,Muzaffarnagar
Delhi,East Delhi
Delhi,New Delhi
Uttar Pradesh,Bijnor
Uttar Pradesh,Nagina
Uttar Pradesh,Moradabad
Delhi,North West Delhi
Delhi,West Delhi
Uttar Pradesh,Rampur
Uttar Pradesh,Sambhal
Uttar Pradesh,Amroha
Uttar Pradesh,Meerut
Uttar Pradesh,Baghpat
Uttar Pradesh,Ghaziabad
Uttar Pradesh,Gautam Buddha Nagar
Uttar Pradesh,Bulandshahr
Uttar Pradesh,Aligarh
Uttar Pradesh,Hathras
Delhi,South Delhi
Rajasthan,Ganganagar
Rajasthan,Bikaner
Rajasthan,Churu
Rajasthan,Jhunjhunu
Rajasthan,Sikar
Rajasthan,Jaipur Rural
Rajasthan,Jaipur
Rajasthan,Alwar
Uttar Pradesh,Mathura
Uttar Pradesh,Agra
Uttar Pradesh,Fatehpur Sikri
Uttar Pradesh,Firozabad
Uttar Pradesh,Mainpuri
Uttar Pradesh,Etah
Uttar Pradesh,Badaun
Uttar Pradesh,Aonla
Bihar,Khagaria
Bihar,Bhagalpur
Bihar,Banka
Bihar,Munger
Bihar,Nalanda
Bihar,Patna Sahib
Bihar,Pataliputra
Bihar,Arrah
Uttar Pradesh,Bareilly
Uttar Pradesh,Pilibhit
Uttar Pradesh,Shahjahanpur
Uttar Pradesh,Kheri
Uttar Pradesh,Dhaurahra
Uttar Pradesh,Sitapur
Uttar Pradesh,Hardoi
Uttar Pradesh,Misrikh
Uttar Pradesh,Unnao
Uttar Pradesh,Mohanlalganj
Uttar Pradesh,Lucknow
Uttar Pradesh,Rae Bareli
Uttar Pradesh,Amethi
Uttar Pradesh,Sultanpur
Uttar Pradesh,Pratapgarh
Uttar Pradesh,Farrukhabad
Uttar Pradesh,Etawah
Uttar Pradesh,Kannauj
Uttar Pradesh,Kanpur
Uttar Pradesh,Akbarpur
Uttar Pradesh,Jalaun
Uttar Pradesh,Jhansi
Uttar Pradesh,Hamirpur
Uttar Pradesh,Banda
Uttar Pradesh,Fatehpur
Uttar Pradesh,Kaushambi
Uttar Pradesh,Phulpur
Uttar Pradesh,Allahabad
Uttar Pradesh,Barabanki
Uttar Pradesh,Faizabad
Uttar Pradesh,Ambedkar Nagar
Uttar Pradesh,Bahraich
Uttar Pradesh,Kaiserganj
Uttar Pradesh,Shrawasti
Uttar Pradesh,Gonda
Uttar Pradesh,Domariyaganj
Uttar Pradesh,Basti
Uttar Pradesh,Sant Kabir Nagar
Uttar Pradesh,Maharajganj
Uttar Pradesh,Gorakhpur
Uttar Pradesh,Kushi Nagar
Uttar Pradesh,Deoria
Uttar Pradesh,Bansgaon
Uttar Pradesh,Lalganj
Uttar Pradesh,Azamgarh
Uttar Pradesh,Ghosi
Uttar Pradesh,Salempur
Uttar Pradesh,Ballia
Uttar Pradesh,Jaunpur
Uttar Pradesh,Machhlishahr
Uttar Pradesh,Ghazipur
Uttar Pradesh,Chandauli
Uttar Pradesh,Varanasi
Uttar Pradesh,Bhadohi
Uttar Pradesh,Mirzapur
Uttar Pradesh,Robertsganj
Bihar,Valmiki Nagar
Bihar,Paschim Champaran
Bihar,Purvi Champaran
Bihar,Sheohar
Bihar,Sitamarhi
Bihar,Madhubani
Bihar,Jhanjharpur
Bihar,Supaul
Bihar,Araria
Bihar,Kishanganj
Bihar,Katihar
Bihar,Purnia
Bihar,Madhepura
Bihar,Darbhanga
Bihar,Muzaffarpur
Bihar,Vaishali
Bihar,Gopalganj
Bihar,Siwan
Bihar,Maharajganj
Bihar,Saran
Bihar,Hajipur
Bihar,Ujiarpur
Bihar,Samastipur
Bihar,Begusarai
Bihar,Buxar
Bihar,Sasaram
Bihar,Karakat
Bihar,Jahanabad
Bihar,Aurangabad
Bihar,Gaya
Bihar,Nawada
Bihar,Jamui
Sikkim,Sikkim
Arunachal Pradesh,Arunachal West
Arunachal Pradesh,Arunachal East
Nagaland,Nagaland
Manipur,Inner Manipur
Manipur,Outer Manipur
Mizoram,Mizoram
Tripura,Tripura East
Meghalaya,Shillong
Meghalaya,Tura
Assam,Karimganj
Assam,Silchar
Assam,Autonomous District
Assam,Dhubri
Assam,Kokrajhar
Assam,Barpeta
Assam,Gauhati
Assam,Mangaldoi
Assam,Tezpur
Assam,Nowgong
Assam,Kaliabor
Assam,Jorhat
Assam,Dibrugarh
Assam,Lakhimpur
West Bengal,Cooch Behar
West Bengal,Alipurduars
West Bengal,Jalpaiguri
West Bengal,Darjeeling
West Bengal,Raiganj
West Bengal,Balurghat
West Bengal,Maldaha Uttar
West Bengal,Maldaha Dakshin
West Bengal,Jangipur
West Bengal,Baharampur
West Bengal,Murshidabad
West Bengal,Krishnanagar
West Bengal,Ranaghat
West Bengal,Bangaon
West Bengal,Barrackpore
West Bengal,Dum Dum
West Bengal,Barasat
West Bengal,Basirhat
