id,state_name,constituency_name,state_name_dm,constituency_name_dm
1,Andhra Pradesh-S01,Aruku,andhra pradesh,araku
2,Andhra Pradesh-S01,Srikakulam,andhra pradesh,srikakulam
3,Andhra Pradesh-S01,Vizianagaram,andhra pradesh,vizianagaram
4,Andhra Pradesh-S01,Visakhapatnam,andhra pradesh,visakhapatnam
5,Andhra Pradesh-S01,Anakapalli,andhra pradesh,anakapalli
6,Andhra Pradesh-S01,Kakinada,andhra pradesh,kakinada
7,Andhra Pradesh-S01,Amalapuram,andhra pradesh,amalapuram
8,Andhra Pradesh-S01,Rajahmundry,andhra pradesh,rajahmundry
9,Andhra Pradesh-S01,Narsapuram,andhra pradesh,narsapuram
10,Andhra Pradesh-S01,Eluru,andhra pradesh,eluru
11,Andhra Pradesh-S01,Machilipatnam,andhra pradesh,machilipatnam
12,Andhra Pradesh-S01,Vijayawada,andhra pradesh,vijayawada
13,Andhra Pradesh-S01,Guntur,andhra pradesh,guntur
14,Andhra Pradesh-S01,Narasaraopet,andhra pradesh,narasaraopet
15,Andhra Pradesh-S01,Bapatla,andhra pradesh,bapatla
16,Andhra Pradesh-S01,Ongole,andhra pradesh,ongole
17,Andhra Pradesh-S01,Nandyal,andhra pradesh,nandyal
18,Andhra Pradesh-S01,Kurnool,andhra pradesh,kurnool
19,Andhra Pradesh-S01,Anantapur,andhra pradesh,anantapuramu
20,Andhra Pradesh-S01,Hindupur,andhra pradesh,hindupur
21,Andhra Pradesh-S01,Kadapa,andhra pradesh,kadapa
22,Andhra Pradesh-S01,Nellore,andhra pradesh,nellore
23,Andhra Pradesh-S01,Tirupati,andhra pradesh,tirupati
24,Andhra Pradesh-S01,Rajampet,andhra pradesh,rajampet
25,Andhra Pradesh-S01,Chittoor,andhra pradesh,chittoor
26,Arunachal Pradesh-S02,ARUNACHAL WEST,arunachal pradesh,arunachal west
27,Arunachal Pradesh-S02,ARUNACHAL EAST,arunachal pradesh,arunachal east
28,Assam-S03,Karimganj,assam,karimganj
29,Assam-S03,Silchar,assam,silchar
30,Assam-S03,Autonomous District,assam,autonomous district
31,Assam-S03,Dhubri,assam,dhubri
32,Assam-S03,Kokrajhar,assam,kokrajhar
33,Assam-S03,Barpeta,assam,barpeta
34,Assam-S03,Gauhati,assam,gauhati
35,Assam-S03,Mangaldoi,assam,mangaldoi
36,Assam-S03,Tezpur,assam,tezpur
37,Assam-S03,Nowgong,assam,nowgong
38,Assam-S03,Kaliabor,assam,kaliabor
39,Assam-S03,Jorhat,assam,jorhat
40,Assam-S03,Dibrugarh,assam,dibrugarh
41,Assam-S03,Lakhimpur,assam,lakhimpur
42,Bihar-S04,Valmiki Nagar,bihar,valmiki nagar
43,Bihar-S04,Paschim Champaran,bihar,paschim champaran
44,Bihar-S04,Purvi Champaran,bihar,purvi champaran
45,Bihar-S04,Sheohar,bihar,sheohar
46,Bihar-S04,Sitamarhi,bihar,sitamarhi
47,Bihar-S04,Madhubani,bihar,madhubani
48,Bihar-S04,Jhanjharpur,bihar,jhanjharpur
49,Bihar-S04,Supaul,bihar,supaul
50,Bihar-S04,Araria,bihar,araria
51,Bihar-S04,Kishanganj,bihar,kishanganj
52,Bihar-S04,Katihar,bihar,katihar
53,Bihar-S04,Purnia,bihar,purnia
54,Bihar-S04,Madhepura,bihar,madhepura
55,Bihar-S04,Darbhanga,bihar,darbhanga
56,Bihar-S04,Muzaffarpur,bihar,muzaffarpur
57,Bihar-S04,Vaishali,bihar,vaishali
58,Bihar-S04,Gopalganj (SC),bihar,gopalganj
59,Bihar-S04,Siwan,bihar,siwan
60,Bihar-S04,Maharajganj,bihar,maharajganj
61,Bihar-S04,Saran,bihar,saran
62,Bihar-S04,Hajipur (SC),bihar,hajipur
63,Bihar-S04,Ujiarpur,bihar,ujiarpur
64,Bihar-S04,Samastipur (SC),bihar,samastipur
65,Bihar-S04,Begusarai,bihar,begusarai
66,Bihar-S04,Khagaria,bihar,khagaria
67,Bihar-S04,Bhagalpur,bihar,bhagalpur
68,Bihar-S04,Banka,bihar,banka
69,Bihar-S04,Munger,bihar,munger
70,Bihar-S04,Nalanda,bihar,nalanda
71,Bihar-S04,Patna Sahib,bihar,patna sahib
72,Bihar-S04,Pataliputra,bihar,pataliputra
73,Bihar-S04,Arrah,bihar,arrah
74,Bihar-S04,Buxar,bihar,buxar
75,Bihar-S04,Sasaram (SC),bihar,sasaram
76,Bihar-S04,Karakat,bihar,karakat
77,Bihar-S04,Jahanabad,bihar,jahanabad
78,Bihar-S04,Aurangabad,bihar,aurangabad
79,Bihar-S04,Gaya (SC),bihar,gaya
80,Bihar-S04,Nawada,bihar,nawada
81,Bihar-S04,Jamui (SC),bihar,jamui
82,Goa-S05,North Goa,goa,north goa
83,Goa-S05,South Goa,goa,south goa
84,Gujarat-S06,Kachchh,gujarat,kachchh
85,Gujarat-S06,Banaskantha,gujarat,banaskantha
86,Gujarat-S06,Patan,gujarat,patan
87,Gujarat-S06,Mahesana,gujarat,mahesana
88,Gujarat-S06,Sabarkantha,gujarat,sabarkantha
89,Gujarat-S06,Gandhinagar,gujarat,gandhinagar
90,Gujarat-S06,Ahmedabad East,gujarat,ahmedabad east
91,Gujarat-S06,Ahmedabad West,gujarat,ahmedabad west
92,Gujarat-S06,Surendranagar,gujarat,surendranagar
93,Gujarat-S06,Rajkot,gujarat,rajkot
94,Gujarat-S06,Porbandar,gujarat,porbandar
95,Gujarat-S06,Jamnagar,gujarat,jamnagar
