State Name,PC NAME,CANDIDATES NAME,SEX,AGE,CATEGORY,PARTY NAME,PARTY SYMBOL,GENERAL,POSTAL,TOTAL,OVER TOTAL ELECTORS IN CONSTITUENCY,OVER TOTAL VOTES POLLED IN CONSTITUENCY,Total Electors
Andhra Pradesh,Aruku,KISHORE CHANDRA DEO,MALE,72,ST,TDP,Bicycle,336163,1938,338101,23.294529901103612,31.356893441596682,1451418
Andhra Pradesh,Aruku,Dr. KOSURI KASI VISWANADHA VEERA VENKATA SATYANARAYANA REDDY,MALE,54,ST,BJP,Lotus,17578,289,17867,1.2310030604553615,1.6570599173649532,1451418
Andhra Pradesh,Aruku,GODDETI. MADHAVI,FEMALE,26,ST,YSRCP,Ceiling Fan,557561,4629,562190,38.733845108714377,52.139839645346328,1451418
Andhra Pradesh,Aruku,SHRUTI DEVI VYRICHERLA,FEMALE,46,ST,INC,Hand,17656,74,17730,1.2215640153284582,1.6443539673633298,1451418
Andhra Pradesh,Aruku,GANGULAIAH VAMPURU.,MALE,49,ST,JnP,Glass Tumbler,42245,549,42794,2.9484269865745083,3.9688936085361726,1451418
Andhra Pradesh,Aruku,SWAMULA. SUBRAHMANYAM,MALE,50,ST,JAJGP,Mike,4705,5,4710,0.32451023757456499,0.43682499640616379,1451418
Andhra Pradesh,Aruku,ANUMULA VAMSIKRISHNA,MALE,41,ST,IND,Helicopter,10211,29,10240,0.70551694963132605,0.94970020450087411,1451418
Andhra Pradesh,Aruku,KANGALA BALUDORA,MALE,61,ST,IND,Cup & Saucer,13810,16,13826,0.95258567828151508,1.2822807643973717,1451418
Andhra Pradesh,Aruku,NARAVA SATYAVATHI,FEMALE,37,ST,IND,Bangles,11231,5,11236,0.77413949668531046,1.0420733884542794,1451418
Andhra Pradesh,Aruku,BIDDIKA RAMAYYA.,MALE,57,ST,IND,Battery Torch,7863,4,7867,0.54202166433101973,0.72961831140706801,1451418
Andhra Pradesh,Aruku,NOTA,NA,NA,NA,NOTA,NA,47955,22,47977,3.3055260441857546,4.4495865929041445,1451418
Andhra Pradesh,Srikakulam,KINJARAPU RAM MOHAN NAIDU,MALE,32,GENERAL,TDP,Bicycle,529213,5331,534544,34.401039990732755,45.911743334541512,1553860
Andhra Pradesh,Srikakulam,DOLA JAGAN,MALE,53,GENERAL,INC,Hand,13456,289,13745,0.8845713256020491,1.1805518575332865,1553860
Andhra Pradesh,Srikakulam,DUVVADA SRINIVAS,MALE,52,GENERAL,YSRCP,Ceiling Fan,520931,6960,527891,33.972880439679251,45.34032016188462,1553860
Andhra Pradesh,Srikakulam,PERLA SAMBA MURTHY,MALE,58,GENERAL,BJP,Lotus,7357,1033,8390,0.53994568365232387,0.72061332009489076,1553860
Andhra Pradesh,Srikakulam,MATTA SATISH CHAKRAVARTHY,MALE,37,GENERAL,PPOI,FLUTE,1441,7,1448,0.093187288430103099,0.124368067639738,1553860
Andhra Pradesh,Srikakulam,METTA RAMARAO,MALE,53,GENERAL,JnP,Glass Tumbler,31319,637,31956,2.0565559316798168,2.7446864430217319,1553860
Andhra Pradesh,Srikakulam,NAMBALLA KRISHNA MOHAN,MALE,44,GENERAL,IND,Electric Pole,4829,7,4836,0.31122494948064822,0.41536186126089292,1553860
Andhra Pradesh,Srikakulam,NAIDUGARI RAJASEKHAR,MALE,35,GENERAL,IND,Helicopter,5151,5,5156,0.33181882537680357,0.44284651709287925,1553860
Andhra Pradesh,Srikakulam,BETHA VIVEKANANDA MAHARAJ,MALE,33,GENERAL,IND,Football,3814,4,3818,0.24571068178600389,0.32792629989538652,1553860
Andhra Pradesh,Srikakulam,NOTA,NA,NA,NA,NOTA,NA,25500,45,25545,1.6439704992727788,2.1940485413377813,1553860
Andhra Pradesh,Vizianagaram,Ashok Gajapathi Raju Pusapati,MALE,67,GENERAL,TDP,Bicycle,527307,3075,530382,35.265229590819025,43.387408553270404,1503980
Andhra Pradesh,Vizianagaram,Adiraju Yedla,MALE,52,GENERAL,INC,Hand,15607,118,15725,1.0455591164776128,1.2863690688978455,1503980
Andhra Pradesh,Vizianagaram,Bellana Chandra Sekhar,MALE,57,GENERAL,YSRCP,Ceiling Fan,573466,4952,578418,38.459155041955349,47.316949067965282,1503980
Andhra Pradesh,Vizianagaram,Sanyasi Raju Pakalapati,MALE,60,GENERAL,BJP,Lotus,6902,364,7266,0.48311812657083203,0.59438840410885496,1503980
Andhra Pradesh,Vizianagaram,P.V.A. Ananda Sagar,MALE,55,GENERAL,SAPRP,Electric Pole,4981,2,4983,0.33132089522467051,0.40762970240495794,1503980
Andhra Pradesh,Vizianagaram,Chiranjeevi Lingala,MALE,28,GENERAL,ACP,Tooth Brush,1261,2,1263,0.083977180547613661,0.10331854588349627,1503980
Andhra Pradesh,Vizianagaram,Mukka Srinivas Rao,MALE,39,GENERAL,JnP,Glass Tumbler,33779,413,34192,2.2734344871607335,2.7970449096187684,1503980
Andhra Pradesh,Vizianagaram,Lagudu. Govinda Rao,MALE,39,GENERAL,JAJGP,Mike,787,4,791,0.052593784491815052,0.064707022797977479,1503980
Andhra Pradesh,Vizianagaram,Surya Bhavani. K,FEMALE,38,GENERAL,PPOI,FLUTE,822,8,830,0.055186904081171294,0.067897381696992803,1503980
Andhra Pradesh,Vizianagaram,Yella Rao Siyyadula,MALE,37,SC,IND,Gas Cylinder,1010,0,1010,0.067155148339738568,0.082622115077063532,1503980
Andhra Pradesh,Vizianagaram,Dhanalakoti Ramana,MALE,29,GENERAL,IND,Matchbox,1172,4,1176,0.078192529155972829,0.09620159141646209,1503980
Andhra Pradesh,Vizianagaram,Pentapati Rajesh,MALE,39,GENERAL,IND,Battery Torch,1461,1,1462,0.097208739477918582,0.1195975566759078,1503980
Andhra Pradesh,Vizianagaram,Ijjurouthu Ramunaidu,MALE,47,GENERAL,IND,Coat,4550,3,4553,0.30273008949587099,0.37245395044145568,1503980
Andhra Pradesh,Vizianagaram,Venkata Trindha Rao Veluri,MALE,52,GENERAL,IND,Sitar,6336,2,6338,0.4214151783933297,0.51847422312715707,1503980
Andhra Pradesh,Vizianagaram,NOTA,NA,NA,NA,NOTA,NA,29468,33,29501,1.9615287437332942,2.4133019969192584,1503980
Andhra Pradesh,Visakhapatnam,DAGGUBATI PURANDESWARI,FEMALE,58,GENERAL,BJP,Lotus,33430,462,33892,1.8527305526704205,2.7333999504807163,1829300
