state_name,constituency_name,sheet,elector_General_m,elector_General_w,voter_General_m,voter_General_w,candidate_Contested_m,candidate_Contested_w,polling_percentage,result_margin,votes_Total Valid Votes Polled,state_name_updated,constituency_name_updated,constituency_type_updated,country,id,state_name_dm,constituency_name_dm,flag_more_women,eligible_vote_w,eligible_vote_m,flag_eligible_women,flag_contested_w,flag_contested_w_30,margin_ratio,median_age,GENERAL,SC,ST,median_age_bucket
Andhra Pradesh-S01,Aruku -ST,S01-1,707693,741531,523085,544258,7,3,74.03,224089,1026561,Andhra Pradesh,Aruku,ST,IN,1,andhra pradesh,araku,w,0.7339652691526045,0.7391411247532476,m,yes,no,21.829097345408602,49.5,0,0,10,2
Andhra Pradesh-S01,Srikakulam-GEN,S01-2,768684,771259,548060,594937,9,0,74.48,6653,1131784,Andhra Pradesh,Srikakulam,GEN,IN,2,andhra pradesh,srikakulam,w,0.7713841913027919,0.7129847895884395,w,no,no,0.5878330140733568,44,9,0,0,1
Andhra Pradesh-S01,Vizianagaram-GEN,S01-3,749438,749681,603059,605843,13,1,80.98,48036,1188389,Andhra Pradesh,Vizianagaram,GEN,IN,3,andhra pradesh,vizianagaram,w,0.8081343931618915,0.8046816414433215,w,yes,no,4.042110790322024,43,13,1,0,1
Andhra Pradesh-S01,Visakhapatnam-GEN,S01-4,914450,910846,608306,624713,10,4,67.77,4414,1223108,Andhra Pradesh,Visakhapatnam,GEN,IN,4,andhra pradesh,visakhapatnam,w,0.6858601783396974,0.6652151566515392,w,yes,no,0.36088391213204396,48,13,1,0,2
Andhra Pradesh-S01,Anakapalli-GEN,S01-5,746440,770950,606111,626764,8,2,81.41,89192,1203594,Andhra Pradesh,Anakapalli,GEN,IN,5,andhra pradesh,anakapalli,w,0.8129761981970296,0.8120023042709394,w,yes,no,7.410472302121812,51.5,9,1,0,2
Andhra Pradesh-S01,Kakinada-GEN,S01-6,775208,787609,616003,611330,12,3,78.95,25738,1217502,Andhra Pradesh,Kakinada,GEN,IN,6,andhra pradesh,kakinada,m,0.7761846296830026,0.794629312390997,m,yes,no,2.1140006340852007,46,11,4,0,2
Andhra Pradesh-S01,Amalapuram -SC,S01-7,728445,730104,617210,607337,9,1,84.47,39795,1216427,Andhra Pradesh,Amalapuram,SC,IN,7,andhra pradesh,amalapuram,m,0.8318499830161182,0.8472980115176849,m,yes,no,3.271466351864929,43.5,0,10,0,1
Andhra Pradesh-S01,Rajahmundry-GEN,S01-8,753238,780030,617706,626974,10,1,81.5,121634,1232340,Andhra Pradesh,Rajahmundry,GEN,IN,8,andhra pradesh,rajahmundry,w,0.803781905824135,0.8200674952671002,m,yes,no,9.870165701024067,50,9,2,0,2
Andhra Pradesh-S01,Narsapuram-GEN,S01-9,708001,730511,580907,587960,14,1,81.8,32676,1165629,Andhra Pradesh,Narsapuram,GEN,IN,9,andhra pradesh,narsapuram,w,0.8048612546559873,0.8204889541116467,m,yes,no,2.8032933291810687,52,13,2,0,2
Andhra Pradesh-S01,Eluru -GEN,S01-10,784838,809167,659879,662137,10,0,83.26,165925,1304043,Andhra Pradesh,Eluru,GEN,IN,10,andhra pradesh,eluru,w,0.8182946165624648,0.8407837031336404,m,no,no,12.723890239815711,55,7,3,0,3
Andhra Pradesh-S01,Machilipatnam -GEN,S01-11,720749,751611,609214,626244,10,2,84.47,60238,1230469,Andhra Pradesh,Machilipatnam,GEN,IN,11,andhra pradesh,machilipatnam,w,0.8332022814993394,0.8452512594537072,m,yes,no,4.895531703764988,50.5,12,0,0,2
Andhra Pradesh-S01,Vijayawada-GEN,S01-12,814598,837479,632378,640718,13,2,77.3,8726,1268800,Andhra Pradesh,Vijayawada,GEN,IN,12,andhra pradesh,vijayawada,w,0.7650556013941842,0.7763068409203067,m,yes,no,0.6877364438839848,48,13,2,0,2
Andhra Pradesh-S01,Guntur-GEN,S01-13,828116,875666,659306,686873,19,0,79.21,4205,1345468,Andhra Pradesh,Guntur,GEN,IN,13,andhra pradesh,guntur,w,0.7844006733160817,0.7961517468567205,m,no,no,0.312530658477199,50,12,7,0,2
Andhra Pradesh-S01,Narasaraopet-GEN,S01-14,820154,848809,707594,721882,13,0,86.05,154002,1424893,Andhra Pradesh,Narasaraopet,GEN,IN,14,andhra pradesh,narasaraopet,w,0.8504645921520625,0.8627574821314046,m,no,no,10.807969440512375,49,10,3,0,2
Andhra Pradesh-S01,Bapatla -SC,S01-15,718086,745777,618167,636396,12,1,86.23,16065,1253274,Andhra Pradesh,Bapatla,SC,IN,15,andhra pradesh,bapatla,w,0.8533328327368637,0.8608537139005634,m,yes,no,1.281842597867665,46,0,13,0,2
Andhra Pradesh-S01,Ongole -GEN,S01-16,774876,774982,663664,659603,13,0,86.24,214851,1321503,Andhra Pradesh,Ongole,GEN,IN,16,andhra pradesh,ongole,m,0.8511204131192724,0.8564776815903448,m,no,no,16.25807886928747,44,11,1,1,1
Andhra Pradesh-S01,Nandyal-GEN,S01-17,789496,810564,639159,649242,19,1,81.03,250119,1289302,Andhra Pradesh,Nandyal,GEN,IN,17,andhra pradesh,nandyal,w,0.8009756169778081,0.8095785159139501,m,yes,no,19.39956658719214,40,16,4,0,1
Andhra Pradesh-S01,Kurnool-GEN,S01-18,785662,786054,596807,585326,16,0,75.54,149067,1180610,Andhra Pradesh,Kurnool,GEN,IN,18,andhra pradesh,kurnool,m,0.7446384090660438,0.7596230949186801,m,no,no,12.626269470866754,46.5,13,3,0,2
Andhra Pradesh-S01,Anantapur-GEN,S01-19,831151,831381,672882,661447,12,2,80.66,141428,1325840,Andhra Pradesh,Anantapur,GEN,IN,19,andhra pradesh,anantapuramu,m,0.7956003324588847,0.8095785242392778,m,yes,no,10.667048814336571,48,13,1,0,2
Andhra Pradesh-S01,Hindupur-GEN,S01-20,794000,782683,672703,654120,9,0,84.81,140748,1321086,Andhra Pradesh,Hindupur,GEN,IN,20,andhra pradesh,hindupur,m,0.8357406510681847,0.8472329974811084,m,no,no,10.653961967653885,51,9,0,0,2
Andhra Pradesh-S01,Kadapa-GEN,S01-21,772621,795457,593730,625851,14,1,78.22,380726,1213550,Andhra Pradesh,Kadapa,GEN,IN,21,andhra pradesh,kadapa,w,0.7867816865022245,0.7684621567366147,w,yes,no,31.372914177413374,43,15,0,0,1
Andhra Pradesh-S01,Nellore-GEN,S01-22,821216,850700,629756,644145,13,0,76.94,148571,1269875,Andhra Pradesh,Nellore,GEN,IN,22,andhra pradesh,nellore,w,0.7571940754672623,0.7668579277559132,m,no,no,11.699655477901368,58,12,1,0,3
Andhra Pradesh-S01,Tirupati -SC,S01-23,809994,839565,643590,660641,11,1,79.59,228376,1287734,Andhra Pradesh,Tirupati,SC,IN,23,andhra pradesh,tirupati,w,0.786884874905457,0.7945614411958607,m,yes,no,17.73471850552987,51,0,12,0,2
Andhra Pradesh-S01,Rajampet-GEN,S01-24,764829,779336,597375,615378,8,1,79.15,268284,1203015,Andhra Pradesh,Rajampet,GEN,IN,24,andhra pradesh,rajampet,w,0.7896183417678639,0.7810569421400078,w,yes,no,22.300968815850176,42,8,1,0,1
Andhra Pradesh-S01,Chittoor -SC,S01-25,776363,786572,650995,658150,8,0,84.23,137271,1298916,Andhra Pradesh,Chittoor,SC,IN,25,andhra pradesh,chittoor,w,0.8367320474158755,0.8385188371934262,m,no,no,10.5681198784217,52.5,0,8,0,2
Arunachal Pradesh-S02,ARUNACHAL WEST-GEN,S02-1,223234,237980,160826,183297,6,1,77.26,174843,356421,Arunachal Pradesh,ARUNACHAL WEST,GEN,IN,26,arunachal pradesh,arunachal west,w,0.7702201865703,0.7204368510173181,w,yes,no,49.05519035073691,45,0,0,7,2
Arunachal Pradesh-S02,ARUNACHAL EAST-GEN,S02-2,171222,165813,139963,142891,5,0,86.46,69948,288206,Arunachal Pradesh,ARUNACHAL EAST,GEN,IN,27,arunachal pradesh,arunachal east,w,0.8617599343839144,0.8174358435247807,w,no,no,24.27014010811711,54,0,0,5,2
Assam-S03,Karimganj -SC,S03-1,696638,641349,556550,502069,14,0,79.1,38389,1053517,Assam,Karimganj,SC,IN,28,assam,karimganj,m,0.7828327478486752,0.7989084718318553,m,no,no,3.6438899419753077,46.5,0,14,0,2
Assam-S03,Silchar-GEN,S03-2,613931,577283,485516,459284,11,2,79.42,81596,941149,Assam,Silchar,GEN,IN,29,assam,silchar,m,0.7955959208914865,0.7908315429584106,w,yes,no,8.669828050606226,44,11,2,0,1
Assam-S03,Autonomous District-ST,S03-3,404528,390551,312945,302927,5,0,77.61,239626,609541,Assam,Autonomous District,ST,IN,30,assam,autonomous district,m,0.7756400572524459,0.7736052881382748,w,no,no,39.31253188874908,61,0,0,5,3
Assam-S03,Dhubri-GEN,S03-4,948971,907173,862010,820604,14,1,90.66,226258,1676027,Assam,Dhubri,GEN,IN,31,assam,dhubri,m,0.9045727771880336,0.908362847758256,m,yes,no,13.49966319158343,45,14,1,0,2
Assam-S03,Kokrajhar-ST,S03-5,900318,865066,751087,718477,8,1,83.29,37786,1463497,Assam,Kokrajhar,ST,IN,32,assam,kokrajhar,m,0.8305458774243815,0.8342463440695399,m,yes,no,2.581898015506694,45,0,0,9,2
