state_name,constituency_name,sheet,elector_General_m,elector_General_w,voter_General_m,voter_General_w,candidate_Contested_m,candidate_Contested_w,voter_POLLING PERCENTAGE_total,result_margin,votes_Total Valid Votes Polled,state_name_updated,constituency_name_updated,constituency_type_updated,country,id
Andhra Pradesh-S01,Aruku -ST,S01-1,707693,741531,523085,544258,7,3,74.03,224089,1026561,Andhra Pradesh,Aruku,ST,IN,1
Andhra Pradesh-S01,Srikakulam-GEN,S01-2,768684,771259,548060,594937,9,0,74.48,6653,1131784,Andhra Pradesh,Srikakulam,GEN,IN,2
Andhra Pradesh-S01,Vizianagaram-GEN,S01-3,749438,749681,603059,605843,13,1,80.98,48036,1188389,Andhra Pradesh,Vizianagaram,GEN,IN,3
Andhra Pradesh-S01,Visakhapatnam-GEN,S01-4,914450,910846,608306,624713,10,4,67.77,4414,1223108,Andhra Pradesh,Visakhapatnam,GEN,IN,4
Andhra Pradesh-S01,Anakapalli-GEN,S01-5,746440,770950,606111,626764,8,2,81.41,89192,1203594,Andhra Pradesh,Anakapalli,GEN,IN,5
Andhra Pradesh-S01,Kakinada-GEN,S01-6,775208,787609,616003,611330,12,3,78.95,25738,1217502,Andhra Pradesh,Kakinada,GEN,IN,6
Andhra Pradesh-S01,Amalapuram -SC,S01-7,728445,730104,617210,607337,9,1,84.47,39795,1216427,Andhra Pradesh,Amalapuram,SC,IN,7
Andhra Pradesh-S01,Rajahmundry-GEN,S01-8,753238,780030,617706,626974,10,1,81.5,121634,1232340,Andhra Pradesh,Rajahmundry,GEN,IN,8
Andhra Pradesh-S01,Narsapuram-GEN,S01-9,708001,730511,580907,587960,14,1,81.8,32676,1165629,Andhra Pradesh,Narsapuram,GEN,IN,9
Andhra Pradesh-S01,Eluru -GEN,S01-10,784838,809167,659879,662137,10,0,83.26,165925,1304043,Andhra Pradesh,Eluru,GEN,IN,10
Andhra Pradesh-S01,Machilipatnam -GEN,S01-11,720749,751611,609214,626244,10,2,84.47,60238,1230469,Andhra Pradesh,Machilipatnam,GEN,IN,11
Andhra Pradesh-S01,Vijayawada-GEN,S01-12,814598,837479,632378,640718,13,2,77.3,8726,1268800,Andhra Pradesh,Vijayawada,GEN,IN,12
Andhra Pradesh-S01,Guntur-GEN,S01-13,828116,875666,659306,686873,19,0,79.21,4205,1345468,Andhra Pradesh,Guntur,GEN,IN,13
Andhra Pradesh-S01,Narasaraopet-GEN,S01-14,820154,848809,707594,721882,13,0,86.05,154002,1424893,Andhra Pradesh,Narasaraopet,GEN,IN,14
Andhra Pradesh-S01,Bapatla -SC,S01-15,718086,745777,618167,636396,12,1,86.23,16065,1253274,Andhra Pradesh,Bapatla,SC,IN,15
Andhra Pradesh-S01,Ongole -GEN,S01-16,774876,774982,663664,659603,13,0,86.24,214851,1321503,Andhra Pradesh,Ongole,GEN,IN,16
Andhra Pradesh-S01,Nandyal-GEN,S01-17,789496,810564,639159,649242,19,1,81.03,250119,1289302,Andhra Pradesh,Nandyal,GEN,IN,17
Andhra Pradesh-S01,Kurnool-GEN,S01-18,785662,786054,596807,585326,16,0,75.54,149067,1180610,Andhra Pradesh,Kurnool,GEN,IN,18
Andhra Pradesh-S01,Anantapur-GEN,S01-19,831151,831381,672882,661447,12,2,80.66,141428,1325840,Andhra Pradesh,Anantapur,GEN,IN,19
Andhra Pradesh-S01,Hindupur-GEN,S01-20,794000,782683,672703,654120,9,0,84.81,140748,1321086,Andhra Pradesh,Hindupur,GEN,IN,20
Andhra Pradesh-S01,Kadapa-GEN,S01-21,772621,795457,593730,625851,14,1,78.22,380726,1213550,Andhra Pradesh,Kadapa,GEN,IN,21
Andhra Pradesh-S01,Nellore-GEN,S01-22,821216,850700,629756,644145,13,0,76.94,148571,1269875,Andhra Pradesh,Nellore,GEN,IN,22
Andhra Pradesh-S01,Tirupati -SC,S01-23,809994,839565,643590,660641,11,1,79.59,228376,1287734,Andhra Pradesh,Tirupati,SC,IN,23
Andhra Pradesh-S01,Rajampet-GEN,S01-24,764829,779336,597375,615378,8,1,79.15,268284,1203015,Andhra Pradesh,Rajampet,GEN,IN,24
Andhra Pradesh-S01,Chittoor -SC,S01-25,776363,786572,650995,658150,8,0,84.23,137271,1298916,Andhra Pradesh,Chittoor,SC,IN,25
Arunachal Pradesh-S02,ARUNACHAL WEST-GEN,S02-1,223234,237980,160826,183297,6,1,77.26,174843,356421,Arunachal Pradesh,ARUNACHAL WEST,GEN,IN,26
Arunachal Pradesh-S02,ARUNACHAL EAST-GEN,S02-2,171222,165813,139963,142891,5,0,86.46,69948,288206,Arunachal Pradesh,ARUNACHAL EAST,GEN,IN,27
Assam-S03,Karimganj -SC,S03-1,696638,641349,556550,502069,14,0,79.1,38389,1053517,Assam,Karimganj,SC,IN,28
Assam-S03,Silchar-GEN,S03-2,613931,577283,485516,459284,11,2,79.42,81596,941149,Assam,Silchar,GEN,IN,29
Assam-S03,Autonomous District-ST,S03-3,404528,390551,312945,302927,5,0,77.61,239626,609541,Assam,Autonomous District,ST,IN,30
Assam-S03,Dhubri-GEN,S03-4,948971,907173,862010,820604,14,1,90.66,226258,1676027,Assam,Dhubri,GEN,IN,31
Assam-S03,Kokrajhar-ST,S03-5,900318,865066,751087,718477,8,1,83.29,37786,1463497,Assam,Kokrajhar,ST,IN,32
Assam-S03,Barpeta-GEN,S03-6,865300,811538,750196,702041,11,2,86.55,140307,1448815,Assam,Barpeta,GEN,IN,33
Assam-S03,Gauhati-GEN,S03-7,1100746,1077793,899023,862213,12,5,80.86,345606,1753291,Assam,Gauhati,GEN,IN,34
Assam-S03,Mangaldoi-GEN,S03-8,920977,874520,777107,724548,10,1,83.66,138545,1487589,Assam,Mangaldoi,GEN,IN,35
Assam-S03,Tezpur-GEN,S03-9,763599,731248,598677,587656,7,0,79.37,242841,1174570,Assam,Tezpur,GEN,IN,36
Assam-S03,Nowgong-GEN,S03-10,918386,872249,761620,728706,7,0,83.22,16752,1482718,Assam,Nowgong,GEN,IN,37
Assam-S03,Kaliabor-GEN,S03-11,883388,848176,728541,693125,7,0,82.12,209994,1408774,Assam,Kaliabor,GEN,IN,38
Assam-S03,Jorhat-GEN,S03-12,689038,671283,535678,518560,6,2,77.5,82653,1045396,Assam,Jorhat,GEN,IN,39
Assam-S03,Dibrugarh-GEN,S03-13,662634,649533,514418,499258,8,0,77.28,364566,994460,Assam,Dibrugarh,GEN,IN,40
Assam-S03,Lakhimpur-GEN,S03-14,866675,837730,651081,628945,11,0,75.15,350551,1268369,Assam,Lakhimpur,GEN,IN,41
