state_name_updated,constituency_name_updated,CANDIDATES NAME,SEX,AGE,CATEGORY,PARTY NAME,PARTY SYMBOL,GENERAL,POSTAL,TOTAL,OVER TOTAL ELECTORS IN CONSTITUENCY,OVER TOTAL VOTES POLLED IN CONSTITUENCY,Total Electors,crank
West Bengal,Ranaghat,JAGANNATH SARKAR,MALE,56,SC,BJP,Lotus,779767,3486,783253,44.44614050657908,52.7515209149803,1762252,1
Madhya Pradesh,SHAHDOL,HIMADRI SINGH,FEMALE,32,ST,BJP,Lotus,746122,1855,747977,45.154768502252374,60.39446550061931,1656474,1
West Bengal,Uluberia,SAJDA AHMED,FEMALE,57,GENERAL,AITC,Flowers and Grass,694617,328,694945,43.03096988955955,53.00392031240466,1614988,1
West Bengal,Jadavpur,MIMI CHAKRABORTY,FEMALE,30,GENERAL,AITC,Flowers and Grass,687773,699,688472,37.8935711506189,47.900935306407995,1816857,1
West Bengal,Jhargram,Kunar Hembram,MALE,56,ST,BJP,Lotus,623373,3210,626583,38.16281211400673,44.52595202919776,1641868,1
Odisha,Jagatsinghpur,RAJASHREE MALLICK,FEMALE,54,SC,BJD,Conch,618955,1030,619985,37.721275618385306,50.4123750738925,1643595,1
West Bengal,Bardhaman Durgapur,S.S AHLUWALIA,MALE,67,GENERAL,BJP,Lotus,597450,926,598376,34.51682012577456,41.75136705626404,1733578,1
Uttar Pradesh,Mirzapur,Anupriya Singh Patel,FEMALE,37,GENERAL,ADAL,Cup & Saucer,590867,697,591564,32.06048288757012,53.33927230201459,1845150,1
West Bengal,Kolkata Dakshin,Mala Roy,FEMALE,61,GENERAL,AITC,Flowers and Grass,572188,931,573119,33.1502830492622,47.47994326786383,1728851,1
Chhattisgarh,JANJGIR-CHAMPA,GUHARAM AJGALLEY,MALE,52,SC,BJP,Lotus,570486,2304,572790,30.192384934327254,45.87920933876076,1897134,1
Bihar,Vaishali,Veena Devi (W/o Dinesh Prasad Singh),FEMALE,48,GENERAL,LJP,Bungalow,566707,1508,568215,32.73159933017777,52.869455343609815,1735983,1
Rajasthan,Dausa,Jaskaur Meena,FEMALE,71,ST,BJP,Lotus,545481,3252,548733,31.71337273715547,51.568869951262975,1730289,1
Uttar Pradesh,Barabanki,Upendra Singh Rawat,MALE,51,SC,BJP,Lotus,535594,323,535917,29.497366291837984,46.37131524571951,1816830,1
Kerala,Kannur,K. SUDHAKARAN,MALE,70,GENERAL,INC,Hand,527685,2056,529741,41.82551024436461,50.224509028714024,1266550,1
Odisha,Bhadrak,MANJULATA MANDAL,FEMALE,42,SC,BJD,Conch,511772,1273,513045,30.875431270277147,41.77734384542598,1661661,1
Uttar Pradesh,Dhaurahra,REKHA VERMA,FEMALE,45,GENERAL,BJP,Lotus,512582,323,512905,31.185815547640445,48.20748660890096,1644674,1
Uttarakhand,Almora,Ajay Tamta,MALE,46,SC,BJP,Lotus,430455,14196,444651,33.237280686017726,63.539090063403194,1337808,1
Jharkhand,Khunti,ARJUN MUNDA,MALE,50,ST,BJP,Lotus,381566,1072,382638,31.815868771327654,45.944089698547366,1202664,1
Meghalaya,Tura,AGATHA K. SANGMA,FEMALE,38,ST,NPEP,Book,304185,270,304455,42.46293532685254,52.1791663810242,716990,1
